probe,EntrezGene.ID,probe.name,Alignment.score,Length.of.probe,NCBI.gene.symbol,HUGO.gene.symbol,Cytoband,Alternative.symbols,Description
1773_at,2342,1773_at,16,16,FNTB,FNTB,14q23-q24,FPTB|MGC31935,"farnesyltransferase, CAAX box, beta"
177_at,5337,177_at,16,16,PLD1,PLD1,3q26,,"phospholipase D1, phosphatidylcholine-specific"
179_at,80761,179_at,4,16,UPK3B,UPK3B,7q11.2,FLJ32198|MGC10902|P35|UPIIIb,uroplakin 3B
1861_at,572,1861_at,16,16,BAD,BAD,11q13.1,BBC2|BCL2L8,BCL2-antagonist of cell death
200000_s_at,10594,200000_s_at,11,11,PRPF8,PRPF8,17p13.3,HPRP8|PRP8|PRPC8|RP13,PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)
200001_at,826,200001_at,10,11,CAPNS1,CAPNS1,19q13.12,30K|CALPAIN4|CANP|CANPS|CAPN4|CDPS,"calpain, small subunit 1"
200002_at,11224,200002_at,11,11,RPL35,RPL35,9q34.1,,ribosomal protein L35
200003_s_at,6158,200003_s_at,11,11,RPL28,RPL28,19q13.4,FLJ43307,ribosomal protein L28
200004_at,1982,200004_at,11,11,EIF4G2,EIF4G2,11p15,AAG1|DAP5|FLJ41344|NAT1|p97,"eukaryotic translation initiation factor 4 gamma, 2"
200005_at,8664,200005_at,11,11,EIF3S7,EIF3S7,22q13.1,MGC126526|MGC17258|eIF3-p66|eIF3-zeta|eIF3d,"eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa"
200006_at,11315,200006_at,11,11,PARK7,PARK7,1p36.33-p36.12,DJ-1|DJ1|FLJ27376,"Parkinson disease (autosomal recessive, early onset) 7"
200007_at,6727,200007_at,9,11,SRP14,SRP14,15q22,ALURBP|MGC14326,signal recognition particle 14kDa (homologous Alu RNA binding protein)
200008_s_at,2665,200008_s_at,11,11,GDI2,GDI2,10p15,FLJ16452|FLJ37352|RABGDIB,GDP dissociation inhibitor 2
200009_at,2665,200009_at,11,11,GDI2,GDI2,10p15,FLJ16452|FLJ37352|RABGDIB,GDP dissociation inhibitor 2
200010_at,6135,200010_at,8,11,RPL11,RPL11,1p36.1-p35,GIG34,ribosomal protein L11
200011_s_at,377,200011_s_at,11,11,ARF3,ARF3,12q13,,ADP-ribosylation factor 3
200012_x_at,6144,200012_x_at,10,11,RPL21,RPL21,13q12.2,DKFZp686C06101|FLJ27458|L21|MGC104274|MGC104275|MGC71252,ribosomal protein L21
200013_at,6152,200013_at,11,11,RPL24,RPL24,3q12,,ribosomal protein L24
200014_s_at,3183,200014_s_at,11,11,HNRPC,HNRPC,14q11.2,C1|C2|HNRNP|MGC104306|MGC105117|MGC117353|MGC131677|SNRPC|hnRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2)
200015_s_at,4735,200015_s_at,11,11,SEPT2,SEPT2,2q37,DIFF6|KIAA0158|NEDD5|hNedd5,septin 2
200016_x_at,3178,200016_x_at,11,11,HNRPA1,HNRPA1,12q13.1,HNRNPA1|MGC102835,heterogeneous nuclear ribonucleoprotein A1
200017_at,6233,200017_at,9,11,RPS27A,RPS27A,2p16,CEP80|HUBCEP80|UBA80|UBCEP1,ribosomal protein S27a
200018_at,6207,200018_at,11,11,RPS13,RPS13,11p15,,ribosomal protein S13
200019_s_at,2197,200019_s_at,11,11,FAU,FAU,11q13,FAU1|RPS30,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30
200020_at,23435,200020_at,11,11,TARDBP,TARDBP,1p36.22,TDP-43,TAR DNA binding protein
200021_at,1072,200021_at,10,11,CFL1,CFL1,11q13,CFL,cofilin 1 (non-muscle)
200022_at,6141,200022_at,11,11,RPL18,RPL18,19q13,,ribosomal protein L18
200023_s_at,8665,200023_s_at,11,11,EIF3S5,EIF3S5,11p15.4,eIF3-p47|eIF3f,"eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa"
200024_at,6193,200024_at,7,11,RPS5,RPS5,19q13.4,,ribosomal protein S5
200025_s_at,6155,200025_s_at,11,11,RPL27,RPL27,17q21.1-q21.2,,ribosomal protein L27
200026_at,6164,200026_at,7,11,RPL34,RPL34,4q25,MGC111005,ribosomal protein L34
200027_at,4677,200027_at,11,11,NARS,NARS,18q21.2-q21.3,ASNRS,asparaginyl-tRNA synthetase
200028_s_at,56910,200028_s_at,11,11,STARD7,STARD7,2q11.2,GTT1,START domain containing 7
200029_at,6143,200029_at,11,11,RPL19,RPL19,17q11.2-q12,DKFZp779D216|FLJ27452|MGC71997,ribosomal protein L19
200030_s_at,5250,200030_s_at,11,11,SLC25A3,SLC25A3,12q23,OK/SW-cl.48|PHC,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"
200031_s_at,6205,200031_s_at,11,11,RPS11,RPS11,19q13.3,,ribosomal protein S11
200032_s_at,6133,200032_s_at,11,11,RPL9,RPL9,4p13,DKFZp313J1510|FLJ27456|MGC15545|NPC-A-16,ribosomal protein L9
200033_at,1655,200033_at,11,11,DDX5,DDX5,17q21,DKFZp686J01190|G17P1|HLR1|HUMP68|p68,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5
200034_s_at,6128,200034_s_at,11,11,RPL6,RPL6,12q24.1,SHUJUN-2|TAXREB107|TXREB1,ribosomal protein L6
200035_at,23399,200035_at,9,11,DULLARD,DULLARD,17p13,HSA011916,dullard homolog (Xenopus laevis)
200036_s_at,4736,200036_s_at,11,11,RPL10A,RPL10A,6p21.3-p21.2,Csa-19|NEDD6,ribosomal protein L10a
200037_s_at,11335,200037_s_at,11,11,CBX3,CBX3,7p15.2,HECH|HP1-GAMMA|HP1Hs-gamma,"chromobox homolog 3 (HP1 gamma homolog, Drosophila)"
200038_s_at,6139,200038_s_at,11,11,RPL17,RPL17,18q21,MGC117162|rpL23,ribosomal protein L17
200039_s_at,5690,200039_s_at,11,11,PSMB2,PSMB2,1p34.2,HC7-I|MGC104215|MGC126885,"proteasome (prosome, macropain) subunit, beta type, 2"
200040_at,10657,200040_at,11,11,KHDRBS1,KHDRBS1,1p32,FLJ34027|Sam68|p62,"KH domain containing, RNA binding, signal transduction associated 1"
200041_s_at,7919,200041_s_at,11,11,BAT1,BAT1,6p21.3,D6S81E|DDX39B|UAP56,HLA-B associated transcript 1
200042_at,51493,200042_at,11,11,C22orf28,C22orf28,22q12,DJ149A16.6|HSPC117|RP1-149A16.6,chromosome 22 open reading frame 28
200043_at,2079,200043_at,11,11,ERH,ERH,14q24.1|7q34,DROER|FLJ27340,enhancer of rudimentary homolog (Drosophila)
200044_at,8683,200044_at,9,11,SFRS9,SFRS9,12q24.31,SRp30c,"splicing factor, arginine/serine-rich 9"
200045_at,23,200045_at,11,11,ABCF1,ABCF1,6p21.33,ABC27|ABC50,"ATP-binding cassette, sub-family F (GCN20), member 1"
200046_at,1603,200046_at,11,11,DAD1,DAD1,14q11-q12,OST2,defender against cell death 1
200047_s_at,7528,200047_s_at,11,11,YY1,YY1,14q,DELTA|NF-E1|UCRBP|YIN-YANG-1,YY1 transcription factor
200048_s_at,10899,200048_s_at,11,11,JTB,JTB,1q21,B PAR|HJTB|HSPC222|PAR|hJT,jumping translocation breakpoint
200049_at,11143,200049_at,11,11,MYST2,MYST2,17q21.32,HBO1|HBOA,MYST histone acetyltransferase 2
200050_at,7705,200050_at,11,11,ZNF146,ZNF146,19q13.1,MGC125660|MGC125661|OZF,zinc finger protein 146
200051_at,9092,200051_at,11,11,SART1,SART1,11q13.1,Ara1|HOMS1|MGC2038|SART1259|Snu66,squamous cell carcinoma antigen recognized by T cells
200052_s_at,3608,200052_s_at,11,11,ILF2,ILF2,1q21.3,MGC8391|NF45|PRO3063,"interleukin enhancer binding factor 2, 45kDa"
200053_at,9552,200053_at,11,11,SPAG7,SPAG7,17p13.2,ACRP|FSA-1|MGC20134,sperm associated antigen 7
200054_at,8882,200054_at,8,11,ZNF259,ZNF259,11q23.3,MGC110983|ZPR1,zinc finger protein 259
200055_at,6881,200055_at,11,11,TAF10,TAF10,11p15.3,TAF2A|TAF2H|TAFII30,"TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa"
200056_s_at,10438,200056_s_at,11,11,C1D,,2p13-p12,MGC12261|MGC14659|SUNCOR,nuclear DNA-binding protein
200057_s_at,4841,200057_s_at,11,11,NONO,NONO,Xq13.1,NMT55|NRB54|P54|P54NRB,"non-POU domain containing, octamer-binding"
200058_s_at,23020,200058_s_at,11,11,ASCC3L1,ASCC3L1,2q11.2,BRR2|HELIC2|U5-200KD,activating signal cointegrator 1 complex subunit 3-like 1
200059_s_at,387,200059_s_at,11,11,RHOA,RHOA,3p21.3,ARH12|ARHA|RHO12|RHOH12,"ras homolog gene family, member A"
200060_s_at,10921,200060_s_at,11,11,RNPS1,RNPS1,16p13.3,E5.1|MGC117332,"RNA binding protein S1, serine-rich domain"
200061_s_at,6229,200061_s_at,11,11,RPS24,RPS24,10q22-q23,DBA3|DKFZp686N1586,ribosomal protein S24
200062_s_at,6156,200062_s_at,11,11,RPL30,RPL30,8q22,,ribosomal protein L30
200063_s_at,,,,,,,,,
200064_at,3326,200064_at,11,11,HSP90AB1,HSP90AB1,6p12,D6S182|FLJ26984|HSP90-BETA|HSP90B|HSPC2|HSPCB,"heat shock protein 90kDa alpha (cytosolic), class B member 1"
200065_s_at,375,200065_s_at,11,11,ARF1,ARF1,1q42,,ADP-ribosylation factor 1
200066_at,3550,200066_at,9,11,IK,IK,2p15-p14|5q31.3,CSA2|IK protein|MGC59741|RED,"IK cytokine, down-regulator of HLA II"
200067_x_at,8724,200067_x_at,7,11,SNX3,SNX3,6q21,MGC17570|SDP3|SNX3A,sorting nexin 3
200068_s_at,821,200068_s_at,11,11,CANX,CANX,5q35,CNX|FLJ26570|IP90|P90,calnexin
200069_at,9733,200069_at,11,11,SART3,SART3,12q24.1,KIAA0156|MGC138188|RP11-13G14|TIP110|p110(nrb),squamous cell carcinoma antigen recognized by T cells 3
200070_at,27013,200070_at,11,11,C2orf24,C2orf24,2q35,CGI-57,chromosome 2 open reading frame 24
200071_at,10285,200071_at,11,11,SMNDC1,SMNDC1,10q23,SMNR|SPF30,survival motor neuron domain containing 1
200072_s_at,4670,200072_s_at,11,11,HNRPM,HNRPM,19p13.3-p13.2,DKFZp547H118|HNRNPM|HNRNPM4|HNRPM4|HTGR1|NAGR1,heterogeneous nuclear ribonucleoprotein M
200073_s_at,3184,200073_s_at,11,11,HNRPD,HNRPD,4q21.1-q21.2,AUF1|AUF1A|P37|hnRNPD0,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)"
200074_s_at,9045,200074_s_at,11,11,RPL14,RPL14,3p22-p21.2,CAG-ISL-7|CTG-B33|L14|MGC88594|RL14|hRL14,ribosomal protein L14
200075_s_at,2987,200075_s_at,11,11,GUK1,GUK1,1q32-q41,GMK,guanylate kinase 1
200076_s_at,79036,200076_s_at,11,11,C19orf50,C19orf50,19p13.11,FLJ25480|MGC2749|MST096|MSTP096,chromosome 19 open reading frame 50
200077_s_at,4946,200077_s_at,11,11,OAZ1,OAZ1,19p13.3,AZI|MGC138338|OAZ,ornithine decarboxylase antizyme 1
200078_s_at,533,200078_s_at,11,11,ATP6V0B,ATP6V0B,1p32.3,ATP6F|HATPL|VMA16,"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b"
200079_s_at,3735,200079_s_at,11,11,KARS,KARS,16q23-q24,KARS2|KIAA0070,lysyl-tRNA synthetase
200080_s_at,3020,200080_s_at,11,11,H3F3A,H3F3A,1q41,H3.3A|H3F3|MGC87782|MGC87783,"H3 histone, family 3A"
200081_s_at,6194,200081_s_at,11,11,RPS6,RPS6,9p21,,ribosomal protein S6
200082_s_at,6201,200082_s_at,11,11,RPS7,RPS7,2p25,,ribosomal protein S7
200083_at,,,,,,,,,
200084_at,10944,200084_at,10,11,C11orf58,C11orf58,11p15.1,IMAGE145052|MGC117265|SMAP,chromosome 11 open reading frame 58
200085_s_at,6923,200085_s_at,11,11,TCEB2,TCEB2,16p12.3,SIII,"transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)"
200086_s_at,1327,200086_s_at,11,11,COX4I1,COX4I1,16q22-qter,COX4|COXIV|MGC72016,cytochrome c oxidase subunit IV isoform 1
200087_s_at,10959,200087_s_at,11,11,TMED2,TMED2,12q24.31,FLJ21323|P24A|RNP24,transmembrane emp24 domain trafficking protein 2
200088_x_at,6136,200088_x_at,11,11,RPL12,RPL12,9q34,,ribosomal protein L12
200089_s_at,6124,200089_s_at,11,11,RPL4,RPL4,15q22,,ribosomal protein L4
200090_at,2339,200090_at,11,11,FNTA,FNTA,8p22-q11,FPTA|MGC99680|PGGT1A,"farnesyltransferase, CAAX box, alpha"
200091_s_at,6230,200091_s_at,11,11,RPS25,RPS25,11q23.3,,ribosomal protein S25
200092_s_at,6167,200092_s_at,11,11,RPL37,RPL37,5p13,DKFZp686G1699|MGC99572,ribosomal protein L37
200093_s_at,3094,200093_s_at,11,11,HINT1,HINT1,5q31.2,HINT|PKCI-1|PRKCNH1,histidine triad nucleotide binding protein 1
200094_s_at,1938,200094_s_at,11,11,EEF2,EEF2,19pter-q12,EEF-2|EF2,eukaryotic translation elongation factor 2
200095_x_at,6204,200095_x_at,11,11,RPS10,RPS10,6p21.31,MGC88819,ribosomal protein S10
200096_s_at,8992,200096_s_at,11,11,ATP6V0E1,ATP6V0E1,5q35.2,ATP6H|ATP6V0E|M9.2|Vma21|Vma21p,"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"
200097_s_at,3190,200097_s_at,11,11,HNRPK,HNRPK,9q21.32-q21.33,CSBP|FLJ41122|HNRNPK|TUNP,heterogeneous nuclear ribonucleoprotein K
200098_s_at,51433,200098_s_at,11,11,ANAPC5,ANAPC5,12q24.31,APC5|PDL-108,anaphase promoting complex subunit 5
200099_s_at,6189,200099_s_at,11,11,RPS3A,RPS3A,4q31.2-q31.3,FTE1|MFTL|MGC23240,ribosomal protein S3A
200593_s_at,3192,200593_s_at,11,11,HNRPU,HNRPU,1q44,HNRNPU|SAF-A|U21.1,heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
200594_x_at,3192,200594_x_at,11,11,HNRPU,HNRPU,1q44,HNRNPU|SAF-A|U21.1,heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
200595_s_at,8661,200595_s_at,11,11,EIF3S10,EIF3S10,10q26,EIF3|EIF3A|KIAA0139|P167|eIF3-p170|eIF3-theta|p180|p185,"eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa"
200596_s_at,8661,200596_s_at,11,11,EIF3S10,EIF3S10,10q26,EIF3|EIF3A|KIAA0139|P167|eIF3-p170|eIF3-theta|p180|p185,"eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa"
200597_at,,,,,,,,,
200598_s_at,7184,200598_s_at,11,11,HSP90B1,HSP90B1,12q24.2-q24.3,ECGP|GP96|GRP94|TRA1,"heat shock protein 90kDa beta (Grp94), member 1"
200599_s_at,7184,200599_s_at,11,11,HSP90B1,HSP90B1,12q24.2-q24.3,ECGP|GP96|GRP94|TRA1,"heat shock protein 90kDa beta (Grp94), member 1"
200600_at,4478,200600_at,11,11,MSN,MSN,Xq11.2-q12,,moesin
200601_at,81,200601_at,10,11,ACTN4,ACTN4,19q13,DKFZp686K23158|FSGS|FSGS1,"actinin, alpha 4"
200602_at,351,200602_at,11,11,APP,APP,21q21.2|21q21.3,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN2,"amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)"
200603_at,5573,200603_at,11,11,PRKAR1A,PRKAR1A,17q23-q24,CAR|CNC|CNC1|DKFZp779L0468|MGC17251|PKR1|PRKAR1|TSE1,"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"
200604_s_at,5573,200604_s_at,11,11,PRKAR1A,PRKAR1A,17q23-q24,CAR|CNC|CNC1|DKFZp779L0468|MGC17251|PKR1|PRKAR1|TSE1,"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"
200605_s_at,5573,200605_s_at,11,11,PRKAR1A,PRKAR1A,17q23-q24,CAR|CNC|CNC1|DKFZp779L0468|MGC17251|PKR1|PRKAR1|TSE1,"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"
200606_at,1832,200606_at,11,11,DSP,DSP,6p24,DPI|DPII,desmoplakin
200607_s_at,5885,200607_s_at,11,11,RAD21,RAD21,8q24,FLJ25655|FLJ40596|HR21|HRAD21|KIAA0078|MCD1|NXP1|SCC1|hHR21,RAD21 homolog (S. pombe)
200608_s_at,5885,200608_s_at,11,11,RAD21,RAD21,8q24,FLJ25655|FLJ40596|HR21|HRAD21|KIAA0078|MCD1|NXP1|SCC1|hHR21,RAD21 homolog (S. pombe)
200609_s_at,9948,200609_s_at,11,11,WDR1,WDR1,4p16.1,AIP1|NORI-1,WD repeat domain 1
200610_s_at,4691,200610_s_at,11,11,NCL,NCL,2q12-qter,C23|FLJ45706,nucleolin
200611_s_at,9948,200611_s_at,11,11,WDR1,WDR1,4p16.1,AIP1|NORI-1,WD repeat domain 1
200612_s_at,163,200612_s_at,11,11,AP2B1,AP2B1,17q11.2-q12,ADTB2|AP105B|AP2-BETA|CLAPB1|DKFZp781K0743,"adaptor-related protein complex 2, beta 1 subunit"
200613_at,1173,200613_at,10,11,AP2M1,AP2M1,3q28,AP50|CLAPM1,"adaptor-related protein complex 2, mu 1 subunit"
200614_at,1213,200614_at,11,11,CLTC,CLTC,17q11-qter,CHC17|CLH-17|CLTCL2|Hc|KIAA0034,"clathrin, heavy chain (Hc)"
200615_s_at,163,200615_s_at,11,11,AP2B1,AP2B1,17q11.2-q12,ADTB2|AP105B|AP2-BETA|CLAPB1|DKFZp781K0743,"adaptor-related protein complex 2, beta 1 subunit"
200616_s_at,9761,200616_s_at,11,11,KIAA0152,KIAA0152,12q24.31,,KIAA0152
200617_at,9761,200617_at,11,11,KIAA0152,KIAA0152,12q24.31,,KIAA0152
200618_at,3927,200618_at,11,11,LASP1,LASP1,17q11-q21.3,Lasp-1|MLN50,LIM and SH3 protein 1
200619_at,10992,200619_at,11,11,SF3B2,SF3B2,11q13.1,SAP145|SF3B145|SF3b1|SF3b150,"splicing factor 3b, subunit 2, 145kDa"
200620_at,9528,200620_at,11,11,TMEM59,TMEM59,1p36-p31,C1orf8|FLJ42977|HSPC001,transmembrane protein 59
200621_at,1465,200621_at,11,11,CSRP1,CSRP1,1q32,CRP|CRP1|CSRP|CYRP|D1S181E|DKFZp686M148,cysteine and glycine-rich protein 1
200622_x_at,808,200622_x_at,11,11,CALM3,CALM3,19q13.2-q13.3,PHKD|PHKD3,"calmodulin 3 (phosphorylase kinase, delta)"
200623_s_at,808,200623_s_at,11,11,CALM3,CALM3,19q13.2-q13.3,PHKD|PHKD3,"calmodulin 3 (phosphorylase kinase, delta)"
200624_s_at,9782,200624_s_at,11,11,MATR3,MATR3,5q31.2,DKFZp686K0542|DKFZp686K23100|KIAA0723|MGC9105,matrin 3
200625_s_at,10487,200625_s_at,11,11,CAP1,CAP1,1p34.2,CAP|CAP1-PEN,"CAP, adenylate cyclase-associated protein 1 (yeast)"
200626_s_at,9782,200626_s_at,11,11,MATR3,MATR3,5q31.2,DKFZp686K0542|DKFZp686K23100|KIAA0723|MGC9105,matrin 3
200627_at,10728,200627_at,11,11,PTGES3,PTGES3,12q13.3|12,P23|TEBP,prostaglandin E synthase 3 (cytosolic)
200628_s_at,7453,200628_s_at,10,11,WARS,WARS,14q32.31,GAMMA-2|IFI53|IFP53,tryptophanyl-tRNA synthetase
200629_at,7453,200629_at,11,11,WARS,WARS,14q32.31,GAMMA-2|IFI53|IFP53,tryptophanyl-tRNA synthetase
200630_x_at,6418,200630_x_at,10,11,SET,SET,9q34,2PP2A|I2PP2A|IGAAD|PHAPII|TAF-IBETA,SET translocation (myeloid leukemia-associated)
200631_s_at,6418,200631_s_at,11,11,SET,SET,9q34,2PP2A|I2PP2A|IGAAD|PHAPII|TAF-IBETA,SET translocation (myeloid leukemia-associated)
200632_s_at,10397,200632_s_at,11,11,NDRG1,NDRG1,8q24.3,CAP43|CMT4D|DRG1|GC4|HMSNL|NDR1|NMSL|PROXY1|RIT42|RTP|TARG1|TDD5,N-myc downstream regulated gene 1
200633_at,7314,200633_at,10,11,UBB,UBB,17p12-p11.2,FLJ25987|MGC8385,ubiquitin B
200634_at,5216,200634_at,11,11,PFN1,PFN1,17p13.3,,profilin 1
200635_s_at,5792,200635_s_at,11,11,PTPRF,PTPRF,1p34,FLJ43335|FLJ45062|FLJ45567|LAR,"protein tyrosine phosphatase, receptor type, F"
200636_s_at,5792,200636_s_at,11,11,PTPRF,PTPRF,1p34,FLJ43335|FLJ45062|FLJ45567|LAR,"protein tyrosine phosphatase, receptor type, F"
200637_s_at,5792,200637_s_at,9,11,PTPRF,PTPRF,1p34,FLJ43335|FLJ45062|FLJ45567|LAR,"protein tyrosine phosphatase, receptor type, F"
200638_s_at,7534,200638_s_at,11,11,YWHAZ,YWHAZ,8q23.1,KCIP-1|MGC111427|MGC126532|MGC138156,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
200639_s_at,7534,200639_s_at,11,11,YWHAZ,YWHAZ,8q23.1,KCIP-1|MGC111427|MGC126532|MGC138156,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
200640_at,7534,200640_at,11,11,YWHAZ,YWHAZ,8q23.1,KCIP-1|MGC111427|MGC126532|MGC138156,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
200641_s_at,7534,200641_s_at,11,11,YWHAZ,YWHAZ,8q23.1,KCIP-1|MGC111427|MGC126532|MGC138156,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
200642_at,6647,200642_at,11,11,SOD1,SOD1,21q22.1|21q22.11,ALS|ALS1|IPOA|SOD|homodimer,"superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))"
200643_at,3069,200643_at,9,11,HDLBP,HDLBP,2q37,FLJ16432|HBP|VGL,high density lipoprotein binding protein (vigilin)
200644_at,65108,200644_at,11,11,MARCKSL1,MARCKSL1,1p35.1,F52|MACMARCKS|MLP|MLP1|MRP,MARCKS-like 1
200645_at,11337,200645_at,11,11,GABARAP,GABARAP,17p13.1,FLJ25768|MGC120154|MGC120155|MM46,GABA(A) receptor-associated protein
200646_s_at,4924,200646_s_at,11,11,NUCB1,NUCB1,19q13.2-q13.4,DKFZp686A15286|FLJ40471|NUC,nucleobindin 1
200647_x_at,8663,200647_x_at,10,11,EIF3S8,EIF3S8,16p11.2,eIF3-p110|eIF3c,"eukaryotic translation initiation factor 3, subunit 8, 110kDa"
200648_s_at,2752,200648_s_at,11,11,GLUL,GLUL,1q31,GLNS|GS|PIG43,glutamate-ammonia ligase (glutamine synthetase)
200649_at,4924,200649_at,11,11,NUCB1,NUCB1,19q13.2-q13.4,DKFZp686A15286|FLJ40471|NUC,nucleobindin 1
200650_s_at,3939,200650_s_at,11,11,LDHA,LDHA,11p15.4,LDH-M|LDH1|PIG19,lactate dehydrogenase A
200651_at,10399,200651_at,11,11,GNB2L1,GNB2L1,5q35.3,Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"
200652_at,6746,200652_at,11,11,SSR2,SSR2,1q21-q23,DKFZp686F19123|HSD25|TLAP|TRAPB,"signal sequence receptor, beta (translocon-associated protein beta)"
200653_s_at,801,200653_s_at,11,11,CALM1,CALM1,14q24-q31,CALML2|CAMI|DD132|PHKD,"calmodulin 1 (phosphorylase kinase, delta)"
200654_at,5034,200654_at,7,11,P4HB,P4HB,17q25,DSI|ERBA2L|GIT|PDI|PDIA1|PHDB|PO4DB|PO4HB|PROHB,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide"
200655_s_at,801,200655_s_at,11,11,CALM1,CALM1,14q24-q31,CALML2|CAMI|DD132|PHKD,"calmodulin 1 (phosphorylase kinase, delta)"
200656_s_at,5034,200656_s_at,11,11,P4HB,P4HB,17q25,DSI|ERBA2L|GIT|PDI|PDIA1|PHDB|PO4DB|PO4HB|PROHB,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide"
200657_at,292,200657_at,11,11,SLC25A5,SLC25A5,Xq24-q26,2F1|ANT2|T2|T3,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"
200658_s_at,5245,200658_s_at,11,11,PHB,PHB,17q21,,prohibitin
200659_s_at,5245,200659_s_at,11,11,PHB,PHB,17q21,,prohibitin
200660_at,6282,200660_at,11,11,S100A11,S100A11,1q21,MLN70|S100C,S100 calcium binding protein A11
200661_at,5476,200661_at,10,11,CTSA,CTSA,20q13.1,GLB2|GSL|NGBE|PPCA|PPGB,cathepsin A
